Country,Brand,Model,Storage Variant,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Color10,Color11
DE,Apple,i14 Pro Max,256 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i14 Pro Max,512 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i15,128 GB,Black,Blue,Green,Rose,Yellow,,,,,,
DE,Apple,i15,256 GB,Black,Blue,Green,Rose,Yellow,,,,,,
DE,Apple,i15,512 GB,Black,Blue,Green,Rose,Yellow,,,,,,
DE,Apple,i15 Plus,128 GB,Black,Blue,Green,Rose,Yellow,,,,,,
DE,Apple,i15 Plus,256 GB,Black,Blue,Green,Rose,Yellow,,,,,,
DE,Apple,i15 Plus,512 GB,Black,Blue,Green,Rose,Yellow,,,,,,
DE,Apple,i15 Pro,1 TB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,i15 Pro,128 GB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,i15 Pro,256 GB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,i15 Pro,512 GB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,i15 Pro Max,1 TB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,i15 Pro Max,256 GB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,i15 Pro Max,512 GB,Titanium Black,Titanium Blue,Titanium Natural,Titanium White,,,,,,,
DE,Apple,iSE3,128 GB,(PRODUCT) Red,Midnight,Starlight,,,,,,,,
DE,Apple,iSE3,256 GB,(PRODUCT) Red,Midnight,Starlight,,,,,,,,
DE,Apple,iSE3,64 GB,(PRODUCT) Red,Midnight,Starlight,,,,,,,,
DE,Samsung,S21,128 GB,Phantom Grey,Phantom Pink,Phantom Violet,Phantom White,,,,,,,
DE,Samsung,S21,256 GB,Phantom Grey,Phantom Pink,Phantom Violet,Phantom White,,,,,,,
DE,Samsung,S21 FE,128 GB,Graphite,Lavender,Olive,White,,,,,,,
DE,Samsung,S21 FE,256 GB,Graphite,Lavender,Olive,White,,,,,,,
